Nome,SKU,descrizione,pressione,SDR,categoria,IMMAGINI,SCHEDA DATI,INFO TECNICHE
,,,,,,https://www.macplastsrl.it/img/cms/certificazione_ISO9001eng_23.jpg|https://www.macplastsrl.it/img/cms/certificazione_ISO14001eng_23.jpg|http://www.macplastsrl.it/img/cms/certificazione-EN-1555.jpg|http://www.macplastsrl.it/img/cms/certificazione-EN-12201DM174.jpg|http://www.macplastsrl.it/img/cms/certificazione-EN-12201-KIP.jpg|http://www.macplastsrl.it/img/cms/certificazione-EN-ISO-15494.jpg|http://www.macplastsrl.it/img/cms/certificazione_DG-7521CR0172-A.jpg|http://www.macplastsrl.it/img/cms/certificazione_DG-7521CR0259-T.jpg|http://www.macplastsrl.it/img/cms/certificazione_DW-7511CR0155-A.jpg|http://www.macplastsrl.it/img/cms/certificazione_DW-7511CR0156-T.jpg|http://www.macplastsrl.it/img/cms/certificazione_WM-74644.jpg|http://www.macplastsrl.it/img/cms/certificazione_ACS.jpg|http://www.macplastsrl.it/img/cms/certificazione_PZH.jpg,,
,,,,,,https://www.macplastsrl.it/img/cms/certificazione_ISO9001eng_23.jpg|https://www.macplastsrl.it/img/cms/certificazione_ISO14001eng_23.jpg|http://www.macplastsrl.it/img/cms/certificazione-EN-1555.jpg|http://www.macplastsrl.it/img/cms/certificazione-EN-12201DM174.jpg|http://www.macplastsrl.it/img/cms/certificazione-EN-12201-KIP.jpg|http://www.macplastsrl.it/img/cms/certificazione-EN-ISO-15494.jpg|http://www.macplastsrl.it/img/cms/certificazione_DG-7521CR0172-A.jpg|http://www.macplastsrl.it/img/cms/certificazione_DG-7521CR0259-T.jpg|http://www.macplastsrl.it/img/cms/certificazione_DW-7511CR0155-A.jpg|http://www.macplastsrl.it/img/cms/certificazione_DW-7511CR0156-T.jpg|http://www.macplastsrl.it/img/cms/certificazione_WM-74644.jpg|http://www.macplastsrl.it/img/cms/certificazione_ACS.jpg|http://www.macplastsrl.it/img/cms/certificazione_PZH.jpg,,
PE/ACERO RECTO  CON TERMINAL ROSCADO,001,"Raccor de transición PE/acero con terminalroscado. Realizado por medio de moldeo porinyección, se emplea para la conexión de varios materiales (uno de los cuales debe ser polietileno) en instalaciones de tuberías para el transporte de gas combustible.",MOP 5 bar,S5 (SDR11),icog,https://www.macplastsrl.it/2219-thickbox_default/pe-acero-recto-con-terminal-roscado.jpg|https://www.macplastsrl.it/2220-thickbox_default/pe-acero-recto-con-terminal-roscado.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li> Tronco de acero al carbono según ISO 3183/API 5L revestido externamente con triple capa de LDPE amarillo clase R3R según DIN30670.   </li><li>Codo en polietileno alta densidad PE100, virgen de ergine i color negro.     </li><li>O-ring en NBR 70 Sh.A certificado gas yagua potable (DVGW).  </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
<li>UNI EN 1555-3 (KIWA KIP-095784)</li>
<li>UNI EN ISO 15494 (KIWA KIP-095785)</li>
<li>DVGW G5600-1 (DW-7521CR0259)</li>
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Unión metal/PE conforme con la UNI 9736, de paso total y aislada de infiltraciones externas. </li><li>Ensayado con pruebas a presión según ISO 1167 y otras especificaciones de ensayo MACPLAST.  </li><li>Hace de junta dieléctrica según la UNI 7129 por estar revestido en triple capa. </li><li>Dimensional  polietileno según UNI EN 1555-3, espesor estándar SDR11. </li><li>Dimensional metal según ISO 3183.  </li><li>Terminal  roscado macho cónico según UNI EN 10226 (exISO7/1). </li></ul></div>
<h5>Características adicionales</h5>
<div class=""rte""><ul><li>Provisto de o-ring de seguridad interno.     </li></ul></div>
<h5>Más información</h5>
<div class=""rte""><ul><li>A pedido roscados NPT.  </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 1555-3</li>
<li>ISO 4437-3</li>
<li>UNI EN ISO 15494</li>
<li>UNI EN 10226-1</li>
</ul></div>"
PE/ACERO RECTO  CON TERMINAL LISO A SOLDAR,003,"Racor de transición PE/acero con terminala soldar. Realizado por medio de moldeo por inyección, se emplea para la conexiónde varios materiales (uno de los cuales debe ser polietileno) en instalaciones detuberías para el transporte de gas combustible.",MOP 10 bar,S5 (SDR11),icog,https://www.macplastsrl.it/2223-thickbox_default/pe-acero-recto-con-terminal-liso-a-soldar.jpg|https://www.macplastsrl.it/2224-thickbox_default/pe-acero-recto-con-terminal-liso-a-soldar.jpg|https://www.macplastsrl.it/2225-thickbox_default/pe-acero-recto-con-terminal-liso-a-soldar.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Troncho de acero al carbono según ISO 3183/API 5L revestido externamente con triple capa de LDPE amarillo clase R3R según DIN30670/ISO21809.   </li><li>Codo en polietileno alta densidad PE100, virgen de color negro.     </li><li>O-ring en NBR 70 Sh.A certificado gas yagua potable (DVGW).  </li><li>Anillo externo de estanqueidad en aceroS355J2H barnizado por polvo (esp. 200µm). </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
<li>UNI EN 1555-3 (KIWA KIP-095784)</li>
<li>UNI EN ISO 15494 (KIWA KIP-095785)</li>
<li>DVGW G5600-1 (DW-7521CR0259)</li>
<li>WATERMARK AS/NZS 4129 (WM 74644)</li>
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Unión metal/PE conforme con la UNI 9736, de paso total y aislada de infiltraciones externas. </li><li>Ensayado con pruebas a presión según ISO 1167 y otras especificaciones de ensayo MACPLAST.  </li><li>Hace de junta dieléctrica según la UNI 7129 por estar revestido en triple capa. </li><li>Dimensional  polietileno según UNI EN 1555-3, espesor estándar SDR11. </li><li>Dimensional metal según ISO 3183.  </li><li>Terminal liso a soldar con bisel 37.5° según EN 12627. </li></ul></div>
<h5>Características adicionales</h5>
<div class=""rte""><ul><li>Provisto de o-ring de seguridad interno.     </li></ul></div>
<h5>Más información</h5>
<div class=""rte""><ul><li>Racores estampados hasta DE225 x 8"".  </li><li>Los diámetros mayores se realizan mediante montaje mecánico con anillo externo de estanqueidad.</li><li>Previo pedido mango de (SDR17) desde DE250x8. </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 1555-3</li>
<li>ISO 4437-3</li>
<li>UNI EN ISO 15494</li>
<li>UNI EN 10226-1</li>
</ul></div>"
ADAPTADOR PE/LATÓN ROSCADO MACHO,007,"Adaptador de transición PE/latón con roscado GAS macho (cónico). Realizado por medio de moldeo por inyección, se emplea para la conexión de varios materiales (de los cuales uno debe ser polietileno) en instalaciones de tuberías para el transporte de agua potable. Puede utilizarse incluso en instalaciones de gashasta el d63x2""",PN 16 bar,S5 / SDR11,icog|icoaq|icoap|icoi|icoae,https://www.macplastsrl.it/2232-thickbox_default/adaptador-pe-latn-roscado-macho.jpg|https://www.macplastsrl.it/2233-thickbox_default/adaptador-pe-latn-roscado-macho.jpg|https://www.macplastsrl.it/2234-thickbox_default/adaptador-pe-latn-roscado-macho.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Cuerpo metálico de latón CW612N según UNI EN 12168.     </li><li>Codo en polietileno alta densidad PE100, virgen de color negro.     </li><li>O-ring en NBR 70 Sh.A certificado gas yagua potable (DVGW).  </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
<li>UNI EN 1555-3 (KIWA KIP-095784)</li>
<li>UNI EN 12201-3 D.M.174 (KIWA KIP-095789)</li>
<li>UNI EN ISO 15494 (KIWA KIP-095785)</li>
<li>DVGW G5600-1  (DW-7521CR0172)</li>
<li>DVGW GW335-B4 (DW-7511CR0155)</li>
<li>ACS C.M. 25.11.02 DGS/SD7A n.571</li>
<li>PZH POLAND HK/W/0553/01/2012</li>
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Unión metal/PE conforme con la norma UNI 9736, de paso total.  </li><li>Ensayado con pruebas a presión según ISO 1167 y ulterior especificación de ensayo MACPLAST.  </li><li>Dimensional polietileno según UNI EN 1555-3, espesor estándar SDR11. </li><li>Codo en PE soldable por electrofusión UNI 10521 o cabeza a cabeza UNI 10520. </li><li>Roscado macho cónico, según UNI EN 10226-1 (exISO7/1) con moleteado de estanqueidad.</li><li>Trabajo para apretamiento con llave de maniobra. </li><li>Certificado para el uso en instalaciones para agua potable según el D.M. 174 del 2004.</li></ul></div>
<h5>Características adicionales</h5>
<div class=""rte""><ul><li>Provisto de o-ring de seguridad interno.     </li></ul></div>
<h5>Más información</h5>
<div class=""rte""><ul><li>Uso GAS certificado hasta DE63 x 2"".  </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 1555-3</li>
<li>UNI EN 12201-3</li>
<li>ISO 4437-3</li>
<li>ISO 4427-3</li>
<li>UNI EN ISO 15494</li>
<li>UNI EN 10226-1</li>
</ul></div>"
ADAPTADOR PE/LATÓN ROSCADO HEMBRA,008,"Adaptador de transición PE/latón con roscado GAS hembra. Realizado por medio demoldeo por inyección, se emplea para la conexión de varios materiales (de los cualesuno debe ser polietileno) en instalaciones de tuberías para el transporte de aguapotable. Puede utilizarse incluso en instalaciones de gashasta el d63x2"".",PN 16 bar,S5 / SDR11,icog|icoaq|icoap|icoi|icoae,https://www.macplastsrl.it/2235-thickbox_default/adaptador-pe-latn-roscado-hembra.jpg|https://www.macplastsrl.it/2236-thickbox_default/adaptador-pe-latn-roscado-hembra.jpg|https://www.macplastsrl.it/2237-thickbox_default/adaptador-pe-latn-roscado-hembra.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Cuerpo metálico de latón CW612N según UNI EN 12168.     </li><li>Codo en polietileno alta densidad PE100, virgen de color negro.     </li><li>O-ring en NBR 70 Sh.A certificado gas yagua potable (DVGW).  </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
<li>UNI EN 1555-3 (KIWA KIP-095784)</li>
<li>UNI EN 12201-3 D.M.174 (KIWA KIP-095789)</li>
<li>UNI EN ISO 15494 (KIWA KIP-095785)</li>
<li>DVGW G5600-1  (DW-7521CR0172)</li>
<li>DVGW GW335-B4 (DW-7511CR0155)</li>
<li>ACS C.M. 25.11.02 DGS/SD7A n.571</li>
<li>PZH POLAND HK/W/0553/01/2012</li>
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Unión metal/PE conforme con la norma UNI 9736, de paso total.  </li><li>Ensayado con pruebas a presión según ISO 1167 y ulterior especificación de ensayo MACPLAST.  </li><li>Dimensional polietileno según UNI EN 1555-3, espesor estándar SDR11. </li><li>Codo en PE soldable por electrofusión UNI 10521 o cabeza a cabeza UNI 10520. </li><li>Roscado hembra cilíndrica según UNI EN 10226-1 (exISO7/1). </li><li>Trabajo para apretamiento con llave de maniobra. </li><li>Certificado para el uso en instalaciones para agua potable según el D.M. 174 del 2004.</li></ul></div>
<h5>Características adicionales</h5>
<div class=""rte""><ul><li>Provisto de o-ring de seguridad interno.     </li></ul></div>
<h5>Más información</h5>
<div class=""rte""><ul><li>Uso GAS certificado hasta DE63 x 2"".  </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 1555-3</li>
<li>UNI EN 12201-3</li>
<li>ISO 4437-3</li>
<li>ISO 4427-3</li>
<li>UNI EN ISO 15494</li>
<li>UNI EN 10226-1</li>
</ul></div>"
PE/ACERO RECTO CON TERMINAL LISO A SOLDAR,019,"Racor de transición PE/acero con terminala soldar. Realizado por medio de moldeo por inyección, se emplea para la conexiónde varios materiales (de los cuales uno debe ser polietileno) en instalaciones delubricación para el transporte de agua ogas combustible. Compatible con agua potable.",PN 16 bar,S5 / SDR11,icog|icoaq|icoap|icoi|icoae,https://www.macplastsrl.it/2248-thickbox_default/pe-acero-recto-con-terminal-liso-a-soldar.jpg|https://www.macplastsrl.it/2249-thickbox_default/pe-acero-recto-con-terminal-liso-a-soldar.jpg|https://www.macplastsrl.it/2250-thickbox_default/pe-acero-recto-con-terminal-liso-a-soldar.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Tronco de acero al carbono según ISO 3183/API 5L galvanizado interna y externamente según UNI EN 10240-A1 (conforme conel DM174 para compatibilidad con agua potable, hasta 8"") y forrado externamente con triple extracto de LDPE negro clase R3R según UNI 9099.</li><li>Codo en polietileno alta densidad PE100, virgen de color negro.     </li><li>O-ring en NBR 70 Sh.A certificado gas yagua potable (DVGW).  </li><li>Anillo externo de estanqueidad en aceroS355J2H barnizado por polvo (esp. 200µm). </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
<li>UNI EN 1555-3 (KIWA KIP-095784)</li>
<li>UNI EN 12201-3 D.M.174 (KIWA KIP-095789)</li>
<li>UNI EN ISO 15494 (KIWA KIP-095785)</li>
<li>DVGW G5600-1 (DW-7521CR0259)</li>
<li>DVGW GW335-B4 (DW-7511CR0156)</li>
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Unión metal/PE conforme con la UNI 9736, de paso total y aislada de infiltraciones externas. </li><li>Ensayado con pruebas a presión según ISO 1167 y otras especificaciones de ensayo MACPLAST.  </li><li>Hace de junta dieléctrica según la UNI 7129 por estar revestido en triple capa. </li><li>Dimensional  polietileno según UNI EN 1555-3, espesor estándar SDR11. </li><li>Dimensional metal según ISO 3183.  </li><li>Terminal liso a soldar con bisel 37.5° según EN 12627. </li><li>Certificado para el uso en instalaciones para agua potable según el D.M. 174 del 2004.</li></ul></div>
<h5>Características adicionales</h5>
<div class=""rte""><ul><li>Provisto de o-ring de seguridad interno.     </li></ul></div>
<h5>Más información</h5>
<div class=""rte""><ul><li>Racores estampados hasta DE225 x 8"".  </li><li>Los diámetros mayores se realizan mediante montaje mecánico con anillo externo de estanqueidad.</li><li>Previo pedido mango de (SDR17) desde DE250x8. </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 1555-3</li>
<li>UNI EN 12201-3</li>
<li>ISO 4437-3</li>
<li>ISO 4427-3</li>
<li>UNI EN ISO 15494</li>
<li>UNI EN 10226-1</li>
</ul></div>"
ADAPTADOR PE/INOX ROSCADO MACHO,151,"Adaptador de transición PE/INOX con roscado GAS macho (cónico). Realizado por medio de moldeo por inyección, se emplea para la conexión de varios materiales (de los cuales uno debe ser polietileno) en instalaciones de tuberías para el transportede agua potable.",PN 16 bar,SDR 11,icoaq|icoap|icoi|icoae,https://www.macplastsrl.it/2428-thickbox_default/adaptador-pe-inox-roscado-macho.jpg|https://www.macplastsrl.it/2429-thickbox_default/adaptador-pe-inox-roscado-macho.jpg|https://www.macplastsrl.it/2430-thickbox_default/adaptador-pe-inox-roscado-macho.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Cuerpo metálico en INOX AISI 316.      </li><li>Codo en polietileno alta densidad PE100, virgen de color negro.     </li><li>O-ring en NBR 70 Sh.A certificado gas yagua potable (DVGW).  </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
<li>UNI EN 1555-3 (KIWA KIP-095784)</li>
<li>UNI EN 12201-3 D.M.174 (KIWA KIP-095789)</li>
<li>UNI EN ISO 15494 (KIWA KIP-095785)</li>
<li>DVGW G5600-1  (DW-7521CR0172)</li>
<li>DVGW GW335-B4 (DW-7511CR0155)</li>
<li>WATERMARK AS/NZS 4129 (WM 74644)</li>
<li>PZH POLAND HK/W/0553/01/2012</li>
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Unión metal/PE conforme con la norma UNI 9736, de paso total.  </li><li>Ensayado con pruebas a presión según ISO 1167 y ulterior especificación de ensayo MACPLAST.  </li><li>Dimensional polietileno según UNI EN 1555-3, espesor estándar SDR11. </li><li>Codo en PE soldable por electrofusión UNI 10521 o cabeza a cabeza UNI 10520. </li><li>Roscado hembra cilíndrica según UNI EN 10226-1 (exISO7/1). </li><li>Trabajo para apretamiento con llave de maniobra. </li><li>Certificado para el uso en instalaciones para agua potable según el D.M. 174 del 2004.</li></ul></div>
<h5>Características adicionales</h5>
<div class=""rte""><ul><li>Provisto de o-ring de seguridad interno.     </li></ul></div>
<h5>Más información</h5>
<div class=""rte""><ul><li>A pedido inox AISI 316L, AISI 304, AISI303. </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 12201-3</li>
<li>ISO 4427-3</li>
<li>UNI EN ISO 15494</li>
<li>UNI EN 10226-1</li>
</ul></div>"
ADAPTADOR PE/INOX ROSCADO HEMBRA,152,"Adaptador de transición PE/INOX con roscado GAS hembra). Realizado por medio de moldeo por inyección, se emplea para laconexión de varios materiales (de los cualesuno debe ser polietileno) en instalaciones de tuberías para el transporte de aguapotable.",PN 16 bar,SDR 11,icoaq|icoap|icoi|icoae,https://www.macplastsrl.it/2431-thickbox_default/adaptador-pe-inox-roscado-hembra.jpg|https://www.macplastsrl.it/2432-thickbox_default/adaptador-pe-inox-roscado-hembra.jpg|https://www.macplastsrl.it/2433-thickbox_default/adaptador-pe-inox-roscado-hembra.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Cuerpo metálico en INOX AISI 316.      </li><li>Codo en polietileno alta densidad PE100, virgen de color negro.     </li><li>O-ring en NBR 70 Sh.A certificado gas yagua potable (DVGW).  </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
<li>UNI EN 1555-3 (KIWA KIP-095784)</li>
<li>UNI EN 12201-3 D.M.174 (KIWA KIP-095789)</li>
<li>UNI EN ISO 15494 (KIWA KIP-095785)</li>
<li>DVGW G5600-1  (DW-7521CR0172)</li>
<li>DVGW GW335-B4 (DW-7511CR0155)</li>
<li>WATERMARK AS/NZS 4129 (WM 74644)</li>
<li>PZH POLAND HK/W/0553/01/2012</li>
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Unión metal/PE conforme con la norma UNI 9736, de paso total.  </li><li>Ensayado con pruebas a presión según ISO 1167 y ulterior especificación de ensayo MACPLAST.  </li><li>Dimensional polietileno según UNI EN 1555-3, espesor estándar SDR11. </li><li>Codo en PE soldable por electrofusión UNI 10521 o cabeza a cabeza UNI 10520. </li><li>Roscado hembra cilíndrica según UNI EN 10226-1 (exISO7/1). </li><li>Trabajo para apretamiento con llave de maniobra. </li><li>Certificado para el uso en instalaciones para agua potable según el D.M. 174 del 2004.</li></ul></div>
<h5>Características adicionales</h5>
<div class=""rte""><ul><li>Provisto de o-ring de seguridad interno.     </li></ul></div>
<h5>Más información</h5>
<div class=""rte""><ul><li>A pedido inox AISI 316L, AISI 304, AISI303. </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 12201-3</li>
<li>ISO 4427-3</li>
<li>UNI EN ISO 15494</li>
<li>UNI EN 10226-1</li>
</ul></div>"
ADAPTADOR PE/CUPHIN® (ECOBRASS) ROSCADO MACHO,163,"Adaptador de transición PE/CUPHIN® (ECOBRASS) con roscado GAS macho (cónico). Particularmente apto para el uso residencial dada la completa ausencia de plomo. Tiene características antidecincificantes superiores a los actuales ADZ en comercio. Realizado por medio de moldeado de inyección, se emplea para la conexión de materiales distintos (de los cuales uno debe ser polietileno) en instalaciones de tuberías para el transporte de agua potable.",PN 16 bar,S5 / SDR11,icog|icoaq|icoap|icoi|icoae,https://www.macplastsrl.it/2449-thickbox_default/adaptador-pe-cuphin-ecobrass-roscado-macho.jpg|https://www.macplastsrl.it/2450-thickbox_default/adaptador-pe-cuphin-ecobrass-roscado-macho.jpg|https://www.macplastsrl.it/2451-thickbox_default/adaptador-pe-cuphin-ecobrass-roscado-macho.jpg,"<table class=""table-data-sheet"">
<tr><td>Materiales</td><td><ul class=""feature_el""><li>Cuerpo metálico en latón CUPHIN CW724R según UNI EN 12168.     </li><li>Codo en polietileno alta densidad PE100, virgen de color negro.     </li><li>O-ring en NBR 70 Sh.A certificado gas yagua potable (DVGW).  </li></ul></td>
<tr><td>Certificaciones</td><td><ul class=""feature_el"">
<li>UNI EN 1555-3 (KIWA KIP-095784)</li>
<li>UNI EN 12201-3 D.M.174 (KIWA KIP-095789)</li>
<li>UNI EN ISO 15494 (KIWA KIP-095785)</li>
<li>DVGW G5600-1  (DW-7521CR0172)</li>
<li>DVGW GW335-B4 (DW-7511CR0155)</li>
<li>ACS C.M. 25.11.02 DGS/SD7A n.571</li>
<li>PZH POLAND HK/W/0553/01/2012</li>
</ul></td>
</tr></tr></table>","<h5>Anotación técnicas</h5>
<div class=""rte""><ul><li>Unión metal/PE conforme con la norma UNI 9736, de paso total.  </li><li>Certificado para el uso en instalaciones de agua potable según las más rigurosas especificaciones como NFS/ANSI 372 (América), DIN 50930-6 (Europa, UBA-List) eD.M.174 (Italia).</li><li>Dimensional polietileno según UNI EN 1555-3, espesor estándar SDR11. </li><li>Codo en PE soldable por electrofusión UNI 10521 o cabeza a cabeza UNI 10520. </li><li>Roscado macho cónico, según UNI EN 10226-1 (exISO7/1) con moleteado de estanqueidad.</li><li>Trabajo para apretamiento con llave de maniobra. </li><li>Ensayado con pruebas a presión según ISO 1167 y ulterior especificación de ensayo MACPLAST.</li></ul></div>
<h5>Características adicionales</h5>
<div class=""rte""><ul><li>Provisto de o-ring de seguridad interno.     </li></ul></div>
<h5>Más información</h5>
<div class=""rte""><ul><li>Uso GAS certificado hasta DE63 x 2"".  </li></ul></div>
<h5>Normas</h5>
<div class=""rte""><ul>
<li>UNI EN 1555-3</li>
<li>UNI EN 12201-3</li>
<li>ISO 4437-3</li>
<li>ISO 4427-3</li>
<li>UNI EN ISO 15494</li>
<li>UNI EN 10226-1</li>
</ul></div>"
